replicate,cell_cell,cell_neurite,neurite_neurite,rosettes,partial,linear,empty
1,Low,Low,Low,1,2,2,0
2,Low,Low,Low,1,1,0,0
3,Low,Low,Low,1,0,3,0
1,Balance,Low,Low,3,4,1,4
2,Balance,Low,Low,0,2,2,0
3,Balance,Low,Low,0,1,0,2
1,High,Low,Low,0,3,0,2
2,High,Low,Low,0,2,0,1
3,High,Low,Low,0,2,0,0
1,Low,Balance,Low,2,3,0,1
2,Low,Balance,Low,0,3,2,0
3,Low,Balance,Low,1,2,3,0
1,Balance,Balance,Low,1,0,1,0
2,Balance,Balance,Low,2,0,1,0
3,Balance,Balance,Low,4,1,1,0
1,High,Balance,Low,0,0,0,3
2,High,Balance,Low,0,2,0,2
3,High,Balance,Low,0,2,0,2
1,Low,High,Low,1,3,3,0
2,Low,High,Low,1,2,2,0
3,Low,High,Low,0,1,1,0
1,Balance,High,Low,2,3,2,0
2,Balance,High,Low,1,0,2,1
3,Balance,High,Low,5,0,1,0
1,High,High,Low,0,4,0,2
2,High,High,Low,0,3,0,0
3,High,High,Low,0,1,0,1
1,Low,Low,Balance,0,1,1,0
2,Low,Low,Balance,1,1,1,0
3,Low,Low,Balance,0,2,1,0
1,Balance,Low,Balance,3,1,3,1
2,Balance,Low,Balance,1,2,0,0
3,Balance,Low,Balance,3,1,1,1
1,High,Low,Balance,0,2,0,1
2,High,Low,Balance,0,2,0,1
3,High,Low,Balance,0,2,0,1
1,Low,Balance,Balance,2,2,2,0
2,Low,Balance,Balance,1,2,3,0
3,Low,Balance,Balance,1,4,2,0
1,Balance,Balance,Balance,1,1,2,1
2,Balance,Balance,Balance,1,2,1,0
3,Balance,Balance,Balance,2,1,0,0
1,High,Balance,Balance,0,2,0,1
2,High,Balance,Balance,2,1,0,1
3,High,Balance,Balance,1,2,0,1
1,Low,High,Balance,3,2,0,0
2,Low,High,Balance,0,3,1,2
3,Low,High,Balance,1,1,0,0
1,Balance,High,Balance,1,2,0,1
2,Balance,High,Balance,1,0,0,1
3,Balance,High,Balance,2,1,0,2
1,High,High,Balance,0,2,1,0
2,High,High,Balance,3,0,0,1
3,High,High,Balance,0,1,0,1
1,Low,Low,High,0,2,1,0
2,Low,Low,High,3,0,0,1
3,Low,Low,High,0,1,0,1
1,Balance,Low,High,2,1,1,0
2,Balance,Low,High,0,2,0,0
3,Balance,Low,High,0,3,0,1
1,High,Low,High,0,1,0,1
2,High,Low,High,2,2,0,0
3,High,Low,High,0,2,0,2
1,Low,Balance,High,0,2,1,0
2,Low,Balance,High,0,2,0,1
3,Low,Balance,High,0,1,1,0
1,Balance,Balance,High,0,0,0,1
2,Balance,Balance,High,1,2,0,1
3,Balance,Balance,High,3,1,0,0
1,High,Balance,High,0,1,0,0
2,High,Balance,High,0,1,0,0
3,High,Balance,High,1,2,0,0
1,Low,High,High,1,0,2,1
2,Low,High,High,1,1,2,0
3,Low,High,High,1,1,2,0
1,Balance,High,High,1,1,1,0
2,Balance,High,High,2,1,1,0
3,Balance,High,High,1,1,1,0
1,High,High,High,0,3,0,1
2,High,High,High,1,1,0,2
3,High,High,High,0,2,0,0
